"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 112","Latin; French, Middle (ca.1400-1600)","First quarter 16th century","1500-1525","France","Book of Hours;16th century;France;French;Christian;Miniature;Illumination;Devotion;Private devotional text;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_112/data/web/4878_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_112.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_112.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_112/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_112/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_112/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_112/index.html#page/1/mode/2up</a>,"","This manuscript is an early sixteenth-century Book of Hours with a liturgical calendar for Lyon. It is generously illuminated, with twelve full-page miniatures, eighteen smaller miniatures, and illuminated initials. At least five leaves are missing from the manuscript.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 114","Latin","Mid-15th century","1440-1460","Lombardi, Italy","Book of Hours;15th century;Christian;Italy;Historiated initial","http://openn.library.upenn.edu/Data/0023/lewis_e_114/data/web/5999_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_114.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_114.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_114/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_114/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_114/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_114/index.html#page/1/mode/2up</a>,"","This is a mid-fifteenth-century Book of Hours, use of Rome.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_114/lewis_e_114.html">http://138.197.87.173/bibliophilly/collation/lewis_e_114/lewis_e_114.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 115","Latin","Saint Reparata appears in red in the calendar (8 October, fol. 11r) and Saints Reparata and Zenobius appear in the litany (fols. 121r and 120r); it is likely that the book was produced for Florentine use; early 15th century","1400-1415","Italy","Book of Hours;15th century;Christian;Italy;Historiated initial;Notable binding;Miniature","http://openn.library.upenn.edu/Data/0023/lewis_e_115/data/web/6002_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_115.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_115.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_115/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_115/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_115/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_115/index.html#page/1/mode/2up</a>,"","This compact Italian Book of Hours is illustrated with sixteen large miniatures facing the incipit pages of their respective sections, as well as two historiated initials. Its sequence of miniatures for the Hours of the Virgin diverges from the usual Infancy narrative. The book also contains a complete sequence of Passion miniatures for the Long and Short Hours of the Cross, as well as two miniatures for the Office of the Dead.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_115/lewis_e_115.html">http://138.197.87.173/bibliophilly/collation/lewis_e_115/lewis_e_115.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 116","Latin","Circa 1450","1450","Italy","15th century;Italian;Italy;Book of Hours;Christian;Devotion;Private devotional text;Gothic","http://openn.library.upenn.edu/Data/0023/lewis_e_116/data/web/5026_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_116.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_116.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_116/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_116/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_116/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_116/index.html#page/1/mode/2up</a>,"","This manuscript is a fifteenth-century Italian Book of Hours, Use of Rome. It is a small-scale volume of text only, with rubrication and catchwords its only decoration. The text comprises the Hours of the Virgin, the Office of the Dead, partial Hours of the Cross, and Hours of the Holy Spirit.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_116/lewis_e_116.html">http://138.197.87.173/bibliophilly/collation/lewis_e_116/lewis_e_116.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 117","Latin; Italian","Circa 1460","1460","Italy","15th century;Italian;Italy;Book of Hours;Devotion;Private devotional text;Illumination;Historiated initial;Illustration;Miniature;Gothic","http://openn.library.upenn.edu/Data/0023/lewis_e_117/data/web/5231_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_117.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_117.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_117/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_117/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_117/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_117/index.html#page/1/mode/2up</a>,"","This manuscript contains a Book of Hours, Use of Rome. Leaves have been excised throughout.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_117/lewis_e_117.html">http://138.197.87.173/bibliophilly/collation/lewis_e_117/lewis_e_117.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 120","Latin","Circa 1490","1490","Naples, Italy","15th century;Italian;Italy;Book of Hours;Christian;Devotion;Private devotional text;Historiated initial;Gothic","http://openn.library.upenn.edu/Data/0023/lewis_e_120/data/web/5234_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_120.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_120.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_120/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_120/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_120/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_120/index.html#page/1/mode/2up</a>,"","This manuscript contains a Book of Hours, Use of Rome.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_120/lewis_e_120.html">http://138.197.87.173/bibliophilly/collation/lewis_e_120/lewis_e_120.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 121","Latin","Late 15th century","1485-1499","Florence, Italy","15th century;Italian;Italy;Book of Hours;Gothic;Historiated initial;Private devotional text;Devotion","http://openn.library.upenn.edu/Data/0023/lewis_e_121/data/web/5236_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_121.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_121.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_121/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_121/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_121/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_121/index.html#page/1/mode/2up</a>,"","This manuscript contains a Book of Hours, Use of Rome.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_121/lewis_e_121.html">http://138.197.87.173/bibliophilly/collation/lewis_e_121/lewis_e_121.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rouen","Lewis E 123","Latin; French, Middle (ca.1400-1600); French","Book of Hours produced in the late fifteenth century, probably at Rouen; hymn and prayer at end of manuscript probably written in the eighteenth century and bound in; late 15th century, with 18th-century additions","1485-1799","Rouen, France","15th century;French;France;Book of Hours;Illustration;Miniature;Illumination;Christian;Devotion;Private devotional text","http://openn.library.upenn.edu/Data/0023/lewis_e_123/data/web/5237_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_123.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_123.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_123/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_123/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_123/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_123/index.html#page/1/mode/2up</a>,"","This manuscript is a late fifteenth-century illuminated book of hours, probably produced in Rouen. It is written in bâtarde and decorated with large miniatures with three-quarter borders at the hour divisions, including one with a generic female owner portrait (fol. 87r). Two full-page miniatures of the temptation of Adam and Eve and the Annunciation are by a different artist (fols. 22v-23r). Beginning with a French calendar and concluding with French prayers, it also has a French hymn and table of contents added to the end of the volume later, probably in the eighteenth century.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_123/lewis_e_123.html">http://138.197.87.173/bibliophilly/collation/lewis_e_123/lewis_e_123.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rouen","Lewis E 124","Latin; French, Middle (ca.1400-1600)","Last quarter 15th century with owner inscriptions dated 1549-1582","1475-1499","Rouen, France","15th century;French;France;Book of Hours;Private devotional text;Devotion;Miniature;Illustration;Illumination","http://openn.library.upenn.edu/Data/0023/lewis_e_124/data/web/5317_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_124.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_124.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_124/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_124/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_124/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_124/index.html#page/1/mode/2up</a>,"","This manuscript is a late fifteenth-century Book of Hours, Use of Rouen, with its calendar and some rubrics in French.  It is written in batârde and has eleven large miniatures with largely gold monumental borders, including one of a male owner kneeling before Saint Barbara, and one small miniature, but several missing leaves probably also had miniatures.  The text pages do not have borders, but do have relatively ornate two-line initials and alternating one-line initials of gold on red or blue.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_124/lewis_e_124.html">http://138.197.87.173/bibliophilly/collation/lewis_e_124/lewis_e_124.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rouen","Lewis E 125","Latin; French, Middle (ca.1400-1600)","Late 15th century","1485-1499","France","Book of Hours;Prayer;Prayer book;Private devotional text;France;French;15th century;Illumination;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_125/data/web/4235_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_125.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_125.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_125/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_125/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_125/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_125/index.html#page/1/mode/2up</a>,"","This manuscript contains a Book of Hours, Use of Rouen.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_125/lewis_e_125.html">http://138.197.87.173/bibliophilly/collation/lewis_e_125/lewis_e_125.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rouen","Lewis E 126","Latin; French, Middle (ca.1400-1600)","Arms of the first owners on fol. 37v (per pale, one, azure between four crescents argent a saltire engrailed or, two, gules a tower with gateway argent): coat-of-arms in a wreath, with the arms of the husband and wife impaled, identified by A. Van de Put as those of Quinard of Languedoc, and Venot-de-Noisy of Burgundy and the Lyonnais; dexter arms alternatively identified as those of the Vauquelin of Normandy by Jean-Luc Deuffic (https://sites.google.com/site/heuresbookofhours/, accessed 29 March 2017); circa 1500","1500","Rouen?, France","Book of Hours;15th century;16th century;Miniature;Illumination;France;French;Prayer;Prayer book;Private devotional text;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_126/data/web/4237_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_126.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_126.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_126/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_126/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_126/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_126/index.html#page/1/mode/2up</a>,"","This richly illuminated Book of Hours of the Use of Rouen includes fifteen full-page miniatures, most of which are framed by elaborate architectural frames painted in shell gold. The calendar contains twenty-four vignettes representing the scenes of the zodiac and the labors of the month. The unusual miniature on fol. 14v represents an allegory known as the Procès du Paradis, with female figures in grisaille representing Ecclesia, Justice, Pity, and Wisdom flanking an angel and overseen by the Trinity. An apparently original inscription above the miniature on fol. 35v mentions Louis King of the French, presumably a reference to Louis XII (r. 1498–1515). The arms of the first owners, a man from the Quinard of Languedoc and a woman from the Venot-de-Noisy are included on a roundel on fol. 37v. A miniature on fol. 69r shows the couple who originally owned the book in prayer before the Virgin and Child. The remaining text pages are decorated with imaginatively varied panel borders. The calendar is of the Use of Rouen, with Saint Romain appearing in gold (23 October, fol. 5v). The Litany includes local Rouen Saints Mello, Romanus, Audoen, Ausbert, Wandregisil, and Wulfran.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_126/lewis_e_126.html">http://138.197.87.173/bibliophilly/collation/lewis_e_126/lewis_e_126.html</a>,"Online? Yes",""
